institute_id,department_id,institute_name,institute_description
1,1,IMEI,"Instytut Metrologii Elektroniki i Informatyki"
2,1,ISSI,"Instytut Sterowania i Systemów Informatycznych"
3,1,IIE,"Instytut Inżynierii Elektrycznej"
