specialization_id,field_of_study_id,specialization_name
3,45,"Inżynieria systemów mikroinformatycznych"
4,45,"Przemysłowe systemy informatyczne"
5,45,"Sieciowe systemy informatyczne"
6,45,"Zintegrowane Systemy Informatyczne"
